model,horizon,selection_method,weighting_scheme,rebalance_frequency,turnover_cap,gross_return,net_return,sharpe,max_drawdown,turnover,annualized_volatility,return_per_unit_turnover,mean_IC,quantile_spread
tree,20,quintile,signal,10,False,-0.011356135900329578,-0.01384230699025335,-0.2262382094033013,-0.1791421025191664,0.019988562047298625,0.06118465588444213,-0.6925113951418073,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,signal,5,False,-0.012154019063984278,-0.01398708909947044,-0.22837639969496204,-0.16945822187730997,0.014737094870290188,0.06124577284760039,-0.9491076241673825,0.03084095064210951,0.002567897834511522
tree,20,topk,signal,10,False,-0.012765261827992647,-0.015244900050829346,-0.22907205599102287,-0.19806495046498795,0.01996232659021611,0.0665506754408612,-0.7636835306712766,0.01021951979489251,-0.0017791915761458802
ranker,20,topk,signal,5,True,-0.012276028771308845,-0.014104003137671572,-0.23041035135770555,-0.16945822187730764,0.014697881643621024,0.06121254125330292,-0.9595942789342573,0.03084095064210951,0.002567897834511522
tree,20,quintile,signal,10,True,-0.011889133182963807,-0.014347473463142135,-0.234688850235302,-0.17914210251916862,0.019774469351401522,0.06113402255265717,-0.7255554224075931,0.01021951979489251,-0.0017791915761458802
tree,20,topk,signal,10,True,-0.0132883844312488,-0.015739976907504727,-0.23668992694590377,-0.1975692519752117,0.019745986980661923,0.06650040882856054,-0.7971228241424219,0.01021951979489251,-0.0017791915761458802
ranker,10,quintile,signal,1,False,-0.005545103510969374,-0.013857174261853733,-0.24601628770954556,-0.15766895893348765,0.06661568054445234,0.05632624730202393,-0.20801670340374145,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,signal,1,True,-0.005592780279975673,-0.013901517482814874,-0.24681152725695102,-0.15766895893348876,0.06659265695558068,0.05632442551332805,-0.2087545101569923,0.028483120471291725,0.0027379479648458422
ranker,20,quintile,signal,1,False,-0.007910716847011279,-0.014727262440152544,-0.26397418429765857,-0.16338917664511354,0.05471901378454925,0.05579054057629367,-0.2691434187417868,0.03084095064210951,0.002567897834511522
ranker,10,topk,signal,1,False,-0.008369981474114496,-0.016350722720171018,-0.26416499706591823,-0.17161107615007065,0.0641319576154985,0.061895871526426914,-0.25495436796427384,0.028483120471291725,0.0027379479648458422
ranker,10,topk,signal,1,True,-0.00840914626730227,-0.01638693560867499,-0.2647572326949381,-0.1716110761500722,0.0641113544635048,0.06189419432237588,-0.25560114500471526,0.028483120471291725,0.0027379479648458422
ranker,20,quintile,signal,1,True,-0.007986870025127879,-0.01479816249137178,-0.2652535950895542,-0.16338917664511587,0.05468118001305325,0.055788734876055734,-0.27062624632166365,0.03084095064210951,0.002567897834511522
ranker,20,topk,signal,1,False,-0.01005745944043479,-0.016539228422810526,-0.26961056861399446,-0.16980439068828534,0.05213578722414593,0.06134488164850092,-0.3172336949992504,0.03084095064210951,0.002567897834511522
ranker,20,topk,signal,1,True,-0.010124927130356287,-0.016601884357743124,-0.27063881045286187,-0.169804390688285,0.052100852649651024,0.061343324447676484,-0.3186489954277999,0.03084095064210951,0.002567897834511522
tree,20,quintile,signal,1,False,-0.009424587906614268,-0.025816812524538046,-0.4159977256925494,-0.23693681121971433,0.13242117476654755,0.0620599847789034,-0.19495985117223058,0.01021951979489251,-0.0017791915761458802
tree,20,topk,signal,1,False,-0.011763856849017151,-0.028049661106141488,-0.41702881980219453,-0.25455950814297357,0.13186609441688626,0.0672607258161343,-0.21271321661703477,0.01021951979489251,-0.0017791915761458802
tree,20,quintile,signal,1,True,-0.009556910212111025,-0.025938790883116347,-0.4179806855373356,-0.23693681121971222,0.13235440368258872,0.06205739112028754,-0.19597980997536396,0.01021951979489251,-0.0017791915761458802
tree,20,topk,signal,1,True,-0.011893607997938926,-0.02816991011708192,-0.41883133532414213,-0.2545595081429739,0.1318056539715233,0.06725836331056904,-0.21372307839820018,0.01021951979489251,-0.0017791915761458802
